Start runing encode (mbh, keyframe-5, devel2013, 1, 33) at 13-Sep-2013 11:06:17
Finish runing encode (mbh, keyframe-5, devel2013, 12937, 12969) at 13-Sep-2013 12:42:37
Finish runing encode (mbh, keyframe-5, devel2013, 12211, 12243) at 13-Sep-2013 12:42:39
Start runing encode (mbh, keyframe-5, devel2013, 17821, 17853) at 13-Sep-2013 12:42:43
Finish runing encode (mbh, keyframe-5, devel2013, 12805, 12837) at 13-Sep-2013 12:42:52
Finish runing encode (mbh, keyframe-5, devel2013, 14389, 14421) at 13-Sep-2013 12:42:56
Finish runing encode (mbh, keyframe-5, devel2013, 13300, 13332) at 13-Sep-2013 12:43:02
Finish runing encode (mbh, keyframe-5, devel2013, 12442, 12474) at 13-Sep-2013 12:43:11
Start runing encode (mbh, keyframe-5, devel2013, 17854, 17886) at 13-Sep-2013 12:43:13
Finish runing encode (mbh, keyframe-5, devel2013, 12178, 12210) at 13-Sep-2013 12:43:21
Finish runing encode (mbh, keyframe-5, devel2013, 14653, 14685) at 13-Sep-2013 12:43:22
Start runing encode (mbh, keyframe-5, devel2013, 17986, 18018) at 13-Sep-2013 12:43:27
Finish runing encode (mbh, keyframe-5, devel2013, 14059, 14091) at 13-Sep-2013 12:43:28
Start runing encode (mbh, keyframe-5, devel2013, 17920, 17952) at 13-Sep-2013 12:43:28
Start runing encode (mbh, keyframe-5, devel2013, 17953, 17985) at 13-Sep-2013 12:43:28
Finish runing encode (mbh, keyframe-5, devel2013, 14917, 14949) at 13-Sep-2013 12:43:34
Finish runing encode (mbh, keyframe-5, devel2013, 13102, 13134) at 13-Sep-2013 12:43:42
Start runing encode (mbh, keyframe-5, devel2013, 18052, 18084) at 13-Sep-2013 12:43:43
Start runing encode (mbh, keyframe-5, devel2013, 18019, 18051) at 13-Sep-2013 12:43:43
Finish runing encode (mbh, keyframe-5, devel2013, 15379, 15411) at 13-Sep-2013 12:43:49
Finish runing encode (mbh, keyframe-5, devel2013, 14752, 14784) at 13-Sep-2013 12:43:56
Start runing encode (mbh, keyframe-5, devel2013, 18151, 18183) at 13-Sep-2013 12:43:57
Finish runing encode (mbh, keyframe-5, devel2013, 13960, 13992) at 13-Sep-2013 12:43:58
Start runing encode (mbh, keyframe-5, devel2013, 18217, 18249) at 13-Sep-2013 12:43:58
Start runing encode (mbh, keyframe-5, devel2013, 18118, 18150) at 13-Sep-2013 12:43:58
Start runing encode (mbh, keyframe-5, devel2013, 18184, 18216) at 13-Sep-2013 12:43:58
Start runing encode (mbh, keyframe-5, devel2013, 18085, 18117) at 13-Sep-2013 12:43:59
Finish runing encode (mbh, keyframe-5, devel2013, 15841, 15873) at 13-Sep-2013 12:44:04
Finish runing encode (mbh, keyframe-5, devel2013, 15181, 15213) at 13-Sep-2013 12:44:10
Finish runing encode (mbh, keyframe-5, devel2013, 11947, 11979) at 13-Sep-2013 12:44:10
Start runing encode (mbh, keyframe-5, devel2013, 18316, 18348) at 13-Sep-2013 12:44:13

Start runing encode (mbh, keyframe-5, devel2013, 18250, 18282) at 13-Sep-2013 12:44:13
Start runing encode (mbh, keyframe-5, devel2013, 18283, 18315) at 13-Sep-2013 12:44:13
Finish runing encode (mbh, keyframe-5, devel2013, 14488, 14520) at 13-Sep-2013 12:44:14
Finish runing encode (mbh, keyframe-5, devel2013, 12508, 12540) at 13-Sep-2013 12:44:21
Finish runing encode (mbh, keyframe-5, devel2013, 14851, 14883) at 13-Sep-2013 12:44:23
Finish runing encode (mbh, keyframe-5, devel2013, 12112, 12144) at 13-Sep-2013 12:44:25
Start runing encode (mbh, keyframe-5, devel2013, 18481, 18513) at 13-Sep-2013 12:44:28
Start runing encode (mbh, keyframe-5, devel2013, 18349, 18381) at 13-Sep-2013 12:44:28
Start runing encode (mbh, keyframe-5, devel2013, 18448, 18480) at 13-Sep-2013 12:44:28
Start runing encode (mbh, keyframe-5, devel2013, 18415, 18447) at 13-Sep-2013 12:44:29
Finish runing encode (mbh, keyframe-5, devel2013, 13498, 13530) at 13-Sep-2013 12:44:35
Start runing encode (mbh, keyframe-5, devel2013, 18547, 18579) at 13-Sep-2013 12:44:43
Finish runing encode (mbh, keyframe-5, devel2013, 14785, 14817) at 13-Sep-2013 12:44:46
Start runing encode (mbh, keyframe-5, devel2013, 18580, 18612) at 13-Sep-2013 12:44:58
Finish runing encode (mbh, keyframe-5, devel2013, 14686, 14718) at 13-Sep-2013 12:45:05
Finish runing encode (mbh, keyframe-5, devel2013, 14422, 14454) at 13-Sep-2013 12:45:10
Start runing encode (mbh, keyframe-5, devel2013, 18613, 18645) at 13-Sep-2013 12:45:28
Start runing encode (mbh, keyframe-5, devel2013, 18646, 18678) at 13-Sep-2013 12:45:28
Finish runing encode (mbh, keyframe-5, devel2013, 16600, 16632) at 13-Sep-2013 12:45:33
Start runing encode (mbh, keyframe-5, devel2013, 18745, 18777) at 13-Sep-2013 12:45:43
Start runing encode (mbh, keyframe-5, devel2013, 18778, 18810) at 13-Sep-2013 12:45:58
Finish runing encode (mbh, keyframe-5, devel2013, 15214, 15246) at 13-Sep-2013 12:46:04
Finish runing encode (mbh, keyframe-5, devel2013, 14224, 14256) at 13-Sep-2013 12:46:13
Start runing encode (mbh, keyframe-5, devel2013, 18811, 18843) at 13-Sep-2013 12:46:14
Finish runing encode (mbh, keyframe-5, devel2013, 15346, 15378) at 13-Sep-2013 12:46:26
Start runing encode (mbh, keyframe-5, devel2013, 18844, 18876) at 13-Sep-2013 12:46:28
Start runing encode (mbh, keyframe-5, devel2013, 18877, 18909) at 13-Sep-2013 12:46:43
Finish runing encode (mbh, keyframe-5, devel2013, 3532, 3564) at 13-Sep-2013 12:46:45
Finish runing encode (mbh, keyframe-5, devel2013, 13267, 13299) at 13-Sep-2013 12:46:51
Start runing encode (mbh, keyframe-5, devel2013, 18976, 19008) at 13-Sep-2013 12:46:58
Start runing encode (mbh, keyframe-5, devel2013, 18910, 18942) at 13-Sep-2013 12:46:59
Finish runing encode (mbh, keyframe-5, devel2013, 15082, 15114) at 13-Sep-2013 12:47:02
Finish runing encode (mbh, keyframe-5, devel2013, 14554, 14586) at 13-Sep-2013 12:47:06
Start runing encode (mbh, keyframe-5, devel2013, 19009, 19041) at 13-Sep-2013 12:47:13
Finish runing encode (mbh, keyframe-5, devel2013, 16732, 16764) at 13-Sep-2013 12:47:15
Finish runing encode (mbh, keyframe-5, devel2013, 15247, 15279) at 13-Sep-2013 12:47:19
Start runing encode (mbh, keyframe-5, devel2013, 19075, 19107) at 13-Sep-2013 12:47:28
Start runing encode (mbh, keyframe-5, devel2013, 19042, 19074) at 13-Sep-2013 12:47:28
Finish runing encode (mbh, keyframe-5, devel2013, 14125, 14157) at 13-Sep-2013 12:47:38
Start runing encode (mbh, keyframe-5, devel2013, 19108, 19140) at 13-Sep-2013 12:47:43
Finish runing encode (mbh, keyframe-5, devel2013, 13234, 13266) at 13-Sep-2013 12:47:53
Finish runing encode (mbh, keyframe-5, devel2013, 14983, 15015) at 13-Sep-2013 12:47:57
Start runing encode (mbh, keyframe-5, devel2013, 19141, 19173) at 13-Sep-2013 12:47:58
Start runing encode (mbh, keyframe-5, devel2013, 19174, 19206) at 13-Sep-2013 12:47:58
Start runing encode (mbh, keyframe-5, devel2013, 19207, 19239) at 13-Sep-2013 12:48:30
Start runing encode (mbh, keyframe-5, devel2013, 19273, 19305) at 13-Sep-2013 12:48:42
Start runing encode (mbh, keyframe-5, devel2013, 19240, 19272) at 13-Sep-2013 12:48:43
Finish runing encode (mbh, keyframe-5, devel2013, 15445, 15477) at 13-Sep-2013 12:49:16
Finish runing encode (mbh, keyframe-5, devel2013, 16633, 16665) at 13-Sep-2013 12:49:16
Start runing encode (mbh, keyframe-5, devel2013, 19339, 19371) at 13-Sep-2013 12:49:28
Start runing encode (mbh, keyframe-5, devel2013, 19306, 19338) at 13-Sep-2013 12:49:28
Finish runing encode (mbh, keyframe-5, devel2013, 12607, 12639) at 13-Sep-2013 12:49:33
Finish runing encode (mbh, keyframe-5, devel2013, 15676, 15708) at 13-Sep-2013 12:49:39
Start runing encode (mbh, keyframe-5, devel2013, 19405, 19437) at 13-Sep-2013 12:49:43
Finish runing encode (mbh, keyframe-5, devel2013, 13762, 13794) at 13-Sep-2013 12:49:44
Start runing encode (mbh, keyframe-5, devel2013, 19372, 19404) at 13-Sep-2013 12:49:44
Start runing encode (mbh, keyframe-5, devel2013, 19438, 19470) at 13-Sep-2013 12:49:58
Finish runing encode (mbh, keyframe-5, devel2013, 17227, 17259) at 13-Sep-2013 12:50:07
Finish runing encode (mbh, keyframe-5, devel2013, 12409, 12441) at 13-Sep-2013 12:50:07
Start runing encode (mbh, keyframe-5, devel2013, 19471, 19503) at 13-Sep-2013 12:50:14
Finish runing encode (mbh, keyframe-5, devel2013, 13663, 13695) at 13-Sep-2013 12:50:17
Start runing encode (mbh, keyframe-5, devel2013, 19537, 19569) at 13-Sep-2013 12:50:28
Start runing encode (mbh, keyframe-5, devel2013, 19504, 19536) at 13-Sep-2013 12:50:28
Finish runing encode (mbh, keyframe-5, devel2013, 15577, 15609) at 13-Sep-2013 12:51:06
Finish runing encode (mbh, keyframe-5, devel2013, 11980, 12012) at 13-Sep-2013 12:51:09
Start runing encode (mbh, keyframe-5, devel2013, 19570, 19602) at 13-Sep-2013 12:51:14
Finish runing encode (mbh, keyframe-5, devel2013, 14158, 14190) at 13-Sep-2013 12:51:19
Start runing encode (mbh, keyframe-5, devel2013, 19603, 19635) at 13-Sep-2013 12:51:29
Finish runing encode (mbh, keyframe-5, devel2013, 15049, 15081) at 13-Sep-2013 12:51:31
Start runing encode (mbh, keyframe-5, devel2013, 19636, 19668) at 13-Sep-2013 12:51:44
Finish runing encode (mbh, keyframe-5, devel2013, 15874, 15906) at 13-Sep-2013 12:51:52
Finish runing encode (mbh, keyframe-5, devel2013, 16204, 16236) at 13-Sep-2013 12:52:00
Start runing encode (mbh, keyframe-5, devel2013, 19702, 19734) at 13-Sep-2013 12:52:13
Start runing encode (mbh, keyframe-5, devel2013, 19669, 19701) at 13-Sep-2013 12:52:13
Finish runing encode (mbh, keyframe-5, devel2013, 16567, 16599) at 13-Sep-2013 12:52:15
Finish runing encode (mbh, keyframe-5, devel2013, 12310, 12342) at 13-Sep-2013 12:52:26
Start runing encode (mbh, keyframe-5, devel2013, 19768, 19800) at 13-Sep-2013 12:52:28
Start runing encode (mbh, keyframe-5, devel2013, 19735, 19767) at 13-Sep-2013 12:52:29
Finish runing encode (mbh, keyframe-5, devel2013, 16831, 16863) at 13-Sep-2013 12:52:32
Finish runing encode (mbh, keyframe-5, devel2013, 15412, 15444) at 13-Sep-2013 12:52:32
Start runing encode (mbh, keyframe-5, devel2013, 19834, 19866) at 13-Sep-2013 12:52:43
Start runing encode (mbh, keyframe-5, devel2013, 19801, 19833) at 13-Sep-2013 12:52:43
Finish runing encode (mbh, keyframe-5, devel2013, 14356, 14388) at 13-Sep-2013 12:52:46
Start runing encode (mbh, keyframe-5, devel2013, 19867, 19899) at 13-Sep-2013 12:52:58
Finish runing encode (mbh, keyframe-5, devel2013, 16996, 17028) at 13-Sep-2013 12:53:07
Start runing encode (mbh, keyframe-5, devel2013, 19933, 19965) at 13-Sep-2013 12:53:13
Start runing encode (mbh, keyframe-5, devel2013, 19900, 19932) at 13-Sep-2013 12:53:14
Finish runing encode (mbh, keyframe-5, devel2013, 15148, 15180) at 13-Sep-2013 12:53:29
Finish runing encode (mbh, keyframe-5, devel2013, 17623, 17655) at 13-Sep-2013 12:53:41
Start runing encode (mbh, keyframe-5, devel2013, 19966, 19998) at 13-Sep-2013 12:53:43
Finish runing encode (mbh, keyframe-5, devel2013, 15544, 15576) at 13-Sep-2013 12:53:55
Start runing encode (mbh, keyframe-5, devel2013, 20032, 20064) at 13-Sep-2013 12:53:58
Start runing encode (mbh, keyframe-5, devel2013, 19999, 20031) at 13-Sep-2013 12:53:58
Finish runing encode (mbh, keyframe-5, devel2013, 14092, 14124) at 13-Sep-2013 12:53:58
Finish runing encode (mbh, keyframe-5, devel2013, 15016, 15048) at 13-Sep-2013 12:54:10
Start runing encode (mbh, keyframe-5, devel2013, 20065, 20097) at 13-Sep-2013 12:54:13
Finish runing encode (mbh, keyframe-5, devel2013, 15313, 15345) at 13-Sep-2013 12:54:31
Finish runing encode (mbh, keyframe-5, devel2013, 14950, 14982) at 13-Sep-2013 12:54:42
Start runing encode (mbh, keyframe-5, devel2013, 20098, 20130) at 13-Sep-2013 12:54:58
Finish runing encode (mbh, keyframe-5, devel2013, 15115, 15147) at 13-Sep-2013 12:55:13
Start runing encode (mbh, keyframe-5, devel2013, 20164, 20196) at 13-Sep-2013 12:55:27
Start runing encode (mbh, keyframe-5, devel2013, 20131, 20163) at 13-Sep-2013 12:55:28
Finish runing encode (mbh, keyframe-5, devel2013, 16171, 16203) at 13-Sep-2013 12:55:37
Finish runing encode (mbh, keyframe-5, devel2013, 17491, 17523) at 13-Sep-2013 12:55:39
Start runing encode (mbh, keyframe-5, devel2013, 20197, 20229) at 13-Sep-2013 12:55:43
Start runing encode (mbh, keyframe-5, devel2013, 20230, 20262) at 13-Sep-2013 12:55:58
Finish runing encode (mbh, keyframe-5, devel2013, 12970, 13002) at 13-Sep-2013 12:56:04
Finish runing encode (mbh, keyframe-5, devel2013, 16435, 16467) at 13-Sep-2013 12:56:07
Start runing encode (mbh, keyframe-5, devel2013, 20296, 20328) at 13-Sep-2013 12:56:13
Start runing encode (mbh, keyframe-5, devel2013, 20263, 20295) at 13-Sep-2013 12:56:14
Finish runing encode (mbh, keyframe-5, devel2013, 18679, 18711) at 13-Sep-2013 12:56:19
Finish runing encode (mbh, keyframe-5, devel2013, 15709, 15741) at 13-Sep-2013 12:56:21
Start runing encode (mbh, keyframe-5, devel2013, 20329, 20361) at 13-Sep-2013 12:56:28
Start runing encode (mbh, keyframe-5, devel2013, 20362, 20394) at 13-Sep-2013 12:56:43
Finish runing encode (mbh, keyframe-5, devel2013, 17722, 17754) at 13-Sep-2013 12:56:51
Start runing encode (mbh, keyframe-5, devel2013, 20428, 20460) at 13-Sep-2013 12:56:58
Start runing encode (mbh, keyframe-5, devel2013, 20395, 20427) at 13-Sep-2013 12:56:58
Finish runing encode (mbh, keyframe-5, devel2013, 17458, 17490) at 13-Sep-2013 12:57:01
Finish runing encode (mbh, keyframe-5, devel2013, 16303, 16335) at 13-Sep-2013 12:57:03
Start runing encode (mbh, keyframe-5, devel2013, 20461, 20493) at 13-Sep-2013 12:57:13
Finish runing encode (mbh, keyframe-5, devel2013, 14587, 14619) at 13-Sep-2013 12:57:22
Finish runing encode (mbh, keyframe-5, devel2013, 18514, 18546) at 13-Sep-2013 12:57:36
Start runing encode (mbh, keyframe-5, devel2013, 20494, 20526) at 13-Sep-2013 12:57:43
Start runing encode (mbh, keyframe-5, devel2013, 20527, 20559) at 13-Sep-2013 12:57:43
Finish runing encode (mbh, keyframe-5, devel2013, 16072, 16104) at 13-Sep-2013 12:58:11
Start runing encode (mbh, keyframe-5, devel2013, 20593, 20625) at 13-Sep-2013 12:58:28
Start runing encode (mbh, keyframe-5, devel2013, 20560, 20592) at 13-Sep-2013 12:58:29
Finish runing encode (mbh, keyframe-5, devel2013, 18712, 18744) at 13-Sep-2013 12:58:36
Finish runing encode (mbh, keyframe-5, devel2013, 15973, 16005) at 13-Sep-2013 12:58:37
Finish runing encode (mbh, keyframe-5, devel2013, 18448, 18480) at 13-Sep-2013 12:58:37
Start runing encode (mbh, keyframe-5, devel2013, 20626, 20658) at 13-Sep-2013 12:58:43
Finish runing encode (mbh, keyframe-5, devel2013, 16963, 16995) at 13-Sep-2013 12:58:47
Finish runing encode (mbh, keyframe-5, devel2013, 16897, 16929) at 13-Sep-2013 12:58:48
Start runing encode (mbh, keyframe-5, devel2013, 20725, 20757) at 13-Sep-2013 12:58:58
Start runing encode (mbh, keyframe-5, devel2013, 20692, 20724) at 13-Sep-2013 12:58:58
Start runing encode (mbh, keyframe-5, devel2013, 20659, 20691) at 13-Sep-2013 12:58:59
Finish runing encode (mbh, keyframe-5, devel2013, 15940, 15972) at 13-Sep-2013 12:59:12
Start runing encode (mbh, keyframe-5, devel2013, 20758, 20790) at 13-Sep-2013 12:59:28
Finish runing encode (mbh, keyframe-5, devel2013, 17359, 17391) at 13-Sep-2013 12:59:29
Finish runing encode (mbh, keyframe-5, devel2013, 17392, 17424) at 13-Sep-2013 12:59:37
Finish runing encode (mbh, keyframe-5, devel2013, 18415, 18447) at 13-Sep-2013 12:59:41
Start runing encode (mbh, keyframe-5, devel2013, 20791, 20823) at 13-Sep-2013 12:59:43
Finish runing encode (mbh, keyframe-5, devel2013, 18217, 18249) at 13-Sep-2013 12:59:43
Finish runing encode (mbh, keyframe-5, devel2013, 16699, 16731) at 13-Sep-2013 12:59:58
Start runing encode (mbh, keyframe-5, devel2013, 20824, 20856) at 13-Sep-2013 12:59:58
Start runing encode (mbh, keyframe-5, devel2013, 20857, 20889) at 13-Sep-2013 12:59:59
Finish runing encode (mbh, keyframe-5, devel2013, 17656, 17688) at 13-Sep-2013 13:00:08
Finish runing encode (mbh, keyframe-5, devel2013, 18844, 18876) at 13-Sep-2013 13:00:08
Finish runing encode (mbh, keyframe-5, devel2013, 16930, 16962) at 13-Sep-2013 13:00:26
Start runing encode (mbh, keyframe-5, devel2013, 20890, 20922) at 13-Sep-2013 13:00:28
Finish runing encode (mbh, keyframe-5, devel2013, 18316, 18348) at 13-Sep-2013 13:00:33
Finish runing encode (mbh, keyframe-5, devel2013, 17854, 17886) at 13-Sep-2013 13:00:40
Start runing encode (mbh, keyframe-5, devel2013, 20956, 20988) at 13-Sep-2013 13:00:42
Start runing encode (mbh, keyframe-5, devel2013, 20923, 20955) at 13-Sep-2013 13:00:44
Finish runing encode (mbh, keyframe-5, devel2013, 17788, 17820) at 13-Sep-2013 13:00:45
Finish runing encode (mbh, keyframe-5, devel2013, 17887, 17919) at 13-Sep-2013 13:00:53
Start runing encode (mbh, keyframe-5, devel2013, 21055, 21087) at 13-Sep-2013 13:00:57
Start runing encode (mbh, keyframe-5, devel2013, 20989, 21021) at 13-Sep-2013 13:00:58
Start runing encode (mbh, keyframe-5, devel2013, 21022, 21054) at 13-Sep-2013 13:00:58
Finish runing encode (mbh, keyframe-5, devel2013, 17425, 17457) at 13-Sep-2013 13:01:11
Finish runing encode (mbh, keyframe-5, devel2013, 18349, 18381) at 13-Sep-2013 13:01:12
Finish runing encode (mbh, keyframe-5, devel2013, 16765, 16797) at 13-Sep-2013 13:01:15
Finish runing encode (mbh, keyframe-5, devel2013, 17326, 17358) at 13-Sep-2013 13:01:17
Finish runing encode (mbh, keyframe-5, devel2013, 17293, 17325) at 13-Sep-2013 13:01:21
Start runing encode (mbh, keyframe-5, devel2013, 21154, 21186) at 13-Sep-2013 13:01:27
Start runing encode (mbh, keyframe-5, devel2013, 21187, 21219) at 13-Sep-2013 13:01:28
Start runing encode (mbh, keyframe-5, devel2013, 21088, 21120) at 13-Sep-2013 13:01:28
Start runing encode (mbh, keyframe-5, devel2013, 21220, 21252) at 13-Sep-2013 13:01:28
Finish runing encode (mbh, keyframe-5, devel2013, 18778, 18810) at 13-Sep-2013 13:01:34
Finish runing encode (mbh, keyframe-5, devel2013, 18580, 18612) at 13-Sep-2013 13:01:35
Finish runing encode (mbh, keyframe-5, devel2013, 18613, 18645) at 13-Sep-2013 13:01:38
Start runing encode (mbh, keyframe-5, devel2013, 21253, 21285) at 13-Sep-2013 13:01:43
Start runing encode (mbh, keyframe-5, devel2013, 21352, 21384) at 13-Sep-2013 13:01:58
Start runing encode (mbh, keyframe-5, devel2013, 21286, 21318) at 13-Sep-2013 13:01:58
Start runing encode (mbh, keyframe-5, devel2013, 21319, 21351) at 13-Sep-2013 13:01:59
Start runing encode (mbh, keyframe-5, devel2013, 21385, 21417) at 13-Sep-2013 13:02:14
Finish runing encode (mbh, keyframe-5, devel2013, 18547, 18579) at 13-Sep-2013 13:02:14
Finish runing encode (mbh, keyframe-5, devel2013, 6436, 6468) at 13-Sep-2013 13:02:16
Start runing encode (mbh, keyframe-5, devel2013, 21418, 21450) at 13-Sep-2013 13:02:27
Start runing encode (mbh, keyframe-5, devel2013, 21451, 21483) at 13-Sep-2013 13:02:28
Start runing encode (mbh, keyframe-5, devel2013, 21484, 21516) at 13-Sep-2013 13:02:28
Finish runing encode (mbh, keyframe-5, devel2013, 16105, 16137) at 13-Sep-2013 13:02:34
Start runing encode (mbh, keyframe-5, devel2013, 21517, 21549) at 13-Sep-2013 13:02:43
Finish runing encode (mbh, keyframe-5, devel2013, 20065, 20097) at 13-Sep-2013 13:02:46
Finish runing encode (mbh, keyframe-5, devel2013, 15775, 15807) at 13-Sep-2013 13:02:53
Start runing encode (mbh, keyframe-5, devel2013, 21550, 21582) at 13-Sep-2013 13:02:58
Finish runing encode (mbh, keyframe-5, devel2013, 16369, 16401) at 13-Sep-2013 13:03:04
Start runing encode (mbh, keyframe-5, devel2013, 21583, 21615) at 13-Sep-2013 13:03:12
Finish runing encode (mbh, keyframe-5, devel2013, 19339, 19371) at 13-Sep-2013 13:03:15
Finish runing encode (mbh, keyframe-5, devel2013, 17260, 17292) at 13-Sep-2013 13:03:18
Start runing encode (mbh, keyframe-5, devel2013, 21616, 21648) at 13-Sep-2013 13:03:28
Finish runing encode (mbh, keyframe-5, devel2013, 16468, 16500) at 13-Sep-2013 13:03:29
Finish runing encode (mbh, keyframe-5, devel2013, 19273, 19305) at 13-Sep-2013 13:03:32
Finish runing encode (mbh, keyframe-5, devel2013, 17689, 17721) at 13-Sep-2013 13:03:47
Start runing encode (mbh, keyframe-5, devel2013, 21781, 21813) at 13-Sep-2013 13:03:57
Start runing encode (mbh, keyframe-5, devel2013, 21715, 21747) at 13-Sep-2013 13:03:58
Start runing encode (mbh, keyframe-5, devel2013, 21748, 21780) at 13-Sep-2013 13:03:58
Start runing encode (mbh, keyframe-5, devel2013, 21682, 21714) at 13-Sep-2013 13:03:58
Finish runing encode (mbh, keyframe-5, devel2013, 16666, 16698) at 13-Sep-2013 13:04:03
Start runing encode (mbh, keyframe-5, devel2013, 21847, 21879) at 13-Sep-2013 13:04:13
Start runing encode (mbh, keyframe-5, devel2013, 21814, 21846) at 13-Sep-2013 13:04:13
Start runing encode (mbh, keyframe-5, devel2013, 21880, 21912) at 13-Sep-2013 13:04:13
Finish runing encode (mbh, keyframe-5, devel2013, 13069, 13101) at 13-Sep-2013 13:04:13
Finish runing encode (mbh, keyframe-5, devel2013, 19075, 19107) at 13-Sep-2013 13:04:21
Start runing encode (mbh, keyframe-5, devel2013, 21946, 21978) at 13-Sep-2013 13:04:28
Start runing encode (mbh, keyframe-5, devel2013, 21913, 21945) at 13-Sep-2013 13:04:28
Finish runing encode (mbh, keyframe-5, devel2013, 16138, 16170) at 13-Sep-2013 13:04:31
Finish runing encode (mbh, keyframe-5, devel2013, 19999, 20031) at 13-Sep-2013 13:04:53
Finish runing encode (mbh, keyframe-5, devel2013, 16402, 16434) at 13-Sep-2013 13:04:58
Finish runing encode (mbh, keyframe-5, devel2013, 18481, 18513) at 13-Sep-2013 13:05:01
Finish runing encode (mbh, keyframe-5, devel2013, 16039, 16071) at 13-Sep-2013 13:05:10
Start runing encode (mbh, keyframe-5, devel2013, 21979, 22011) at 13-Sep-2013 13:05:12
Start runing encode (mbh, keyframe-5, devel2013, 22012, 22044) at 13-Sep-2013 13:05:13
Start runing encode (mbh, keyframe-5, devel2013, 22078, 22110) at 13-Sep-2013 13:05:28
Finish runing encode (mbh, keyframe-5, devel2013, 16336, 16368) at 13-Sep-2013 13:05:53
Start runing encode (mbh, keyframe-5, devel2013, 22111, 22143) at 13-Sep-2013 13:05:58
Finish runing encode (mbh, keyframe-5, devel2013, 17953, 17985) at 13-Sep-2013 13:06:12
Start runing encode (mbh, keyframe-5, devel2013, 22144, 22176) at 13-Sep-2013 13:06:13
Finish runing encode (mbh, keyframe-5, devel2013, 16864, 16896) at 13-Sep-2013 13:06:15
Finish runing encode (mbh, keyframe-5, devel2013, 16798, 16830) at 13-Sep-2013 13:06:23
Start runing encode (mbh, keyframe-5, devel2013, 22210, 22242) at 13-Sep-2013 13:06:27
Start runing encode (mbh, keyframe-5, devel2013, 22243, 22275) at 13-Sep-2013 13:06:28
Start runing encode (mbh, keyframe-5, devel2013, 22177, 22209) at 13-Sep-2013 13:06:28
Finish runing encode (mbh, keyframe-5, devel2013, 19042, 19074) at 13-Sep-2013 13:06:40
Start runing encode (mbh, keyframe-5, devel2013, 22276, 22308) at 13-Sep-2013 13:06:44
Finish runing encode (mbh, keyframe-5, devel2013, 16534, 16566) at 13-Sep-2013 13:07:02
Finish runing encode (mbh, keyframe-5, devel2013, 17029, 17061) at 13-Sep-2013 13:07:10
Finish runing encode (mbh, keyframe-5, devel2013, 18382, 18414) at 13-Sep-2013 13:07:10
Finish runing encode (mbh, keyframe-5, devel2013, 17590, 17622) at 13-Sep-2013 13:07:11
Start runing encode (mbh, keyframe-5, devel2013, 22375, 22407) at 13-Sep-2013 13:07:13
Start runing encode (mbh, keyframe-5, devel2013, 22342, 22374) at 13-Sep-2013 13:07:13
Start runing encode (mbh, keyframe-5, devel2013, 22408, 22440) at 13-Sep-2013 13:07:28
Finish runing encode (mbh, keyframe-5, devel2013, 21121, 21153) at 13-Sep-2013 13:08:13
Finish runing encode (mbh, keyframe-5, devel2013, 20032, 20064) at 13-Sep-2013 13:08:23
Finish runing encode (mbh, keyframe-5, devel2013, 18646, 18678) at 13-Sep-2013 13:08:23
Start runing encode (mbh, keyframe-5, devel2013, 22540, 22572) at 13-Sep-2013 13:08:28
Start runing encode (mbh, keyframe-5, devel2013, 22441, 22473) at 13-Sep-2013 13:08:28
Start runing encode (mbh, keyframe-5, devel2013, 22474, 22506) at 13-Sep-2013 13:08:28
Start runing encode (mbh, keyframe-5, devel2013, 22507, 22539) at 13-Sep-2013 13:08:29
Finish runing encode (mbh, keyframe-5, devel2013, 20230, 20262) at 13-Sep-2013 13:08:34
Finish runing encode (mbh, keyframe-5, devel2013, 17095, 17127) at 13-Sep-2013 13:08:37
Start runing encode (mbh, keyframe-5, devel2013, 22573, 22605) at 13-Sep-2013 13:08:43
Finish runing encode (mbh, keyframe-5, devel2013, 21649, 21681) at 13-Sep-2013 13:08:55
Finish runing encode (mbh, keyframe-5, devel2013, 20725, 20757) at 13-Sep-2013 13:08:55
Finish runing encode (mbh, keyframe-5, devel2013, 17062, 17094) at 13-Sep-2013 13:08:56
Start runing encode (mbh, keyframe-5, devel2013, 22606, 22638) at 13-Sep-2013 13:08:57
Finish runing encode (mbh, keyframe-5, devel2013, 18877, 18909) at 13-Sep-2013 13:09:07
Start runing encode (mbh, keyframe-5, devel2013, 22639, 22671) at 13-Sep-2013 13:09:13
Start runing encode (mbh, keyframe-5, devel2013, 22672, 22704) at 13-Sep-2013 13:09:13
Finish runing encode (mbh, keyframe-5, devel2013, 18019, 18051) at 13-Sep-2013 13:09:21
Finish runing encode (mbh, keyframe-5, devel2013, 17755, 17787) at 13-Sep-2013 13:09:41
Start runing encode (mbh, keyframe-5, devel2013, 22705, 22737) at 13-Sep-2013 13:09:43
Finish runing encode (mbh, keyframe-5, devel2013, 18052, 18084) at 13-Sep-2013 13:09:44
Finish runing encode (mbh, keyframe-5, devel2013, 20560, 20592) at 13-Sep-2013 13:09:57
Start runing encode (mbh, keyframe-5, devel2013, 22804, 22836) at 13-Sep-2013 13:09:58
Start runing encode (mbh, keyframe-5, devel2013, 22771, 22803) at 13-Sep-2013 13:09:58
Finish runing encode (mbh, keyframe-5, devel2013, 16006, 16038) at 13-Sep-2013 13:10:11
